AX,AY,AZ
0.09,-0.41,0.52
0.13,-0.41,0.37
0.20,-0.42,0.25
0.08,-0.39,0.20
0.04,-0.41,0.03
-0.17,-0.42,0.02
-0.30,-0.43,0.07
-0.31,-0.45,0.01
-0.22,-0.46,-0.21
-0.14,-0.48,-0.32
-0.07,-0.50,-0.31
-0.08,-0.51,-0.23
-0.06,-0.53,-0.21
-0.06,-0.53,-0.27
-0.01,-0.54,-0.27
-0.01,-0.51,-0.32
-0.10,-0.52,-0.37
-0.15,-0.53,-0.44
-0.18,-0.53,-0.51
-0.14,-0.52,-0.64
-0.13,-0.49,-0.66
-0.15,-0.48,-0.69
-0.15,-0.44,-0.88
-0.14,-0.43,-1.09
-0.26,-0.41,-1.18
-0.39,-0.41,-1.20
-0.51,-0.42,-1.18
-0.51,-0.41,-1.30
-0.45,-0.38,-1.46
-0.41,-0.37,-1.52
-0.45,-0.37,-1.55
-0.54,-0.39,-1.56
-0.54,-0.41,-1.54
-0.56,-0.42,-1.49
-0.62,-0.45,-1.36
-0.60,-0.46,-1.27
-0.55,-0.48,-1.18
-0.51,-0.50,-1.14
-0.43,-0.50,-1.12
-0.34,-0.50,-1.07
-0.28,-0.49,-1.06
-0.23,-0.47,-1.02
-0.19,-0.47,-0.97
-0.15,-0.47,-0.97
-0.14,-0.45,-0.99
-0.15,-0.45,-0.90
-0.21,-0.47,-0.76
-0.24,-0.48,-0.72
-0.21,-0.48,-0.68
-0.22,-0.50,-0.57
-0.22,-0.52,-0.58
-0.26,-0.52,-0.62
-0.29,-0.51,-0.60
-0.30,-0.51,-0.56
-0.23,-0.50,-0.53
-0.19,-0.47,-0.54
-0.18,-0.43,-0.51
-0.24,-0.40,-0.38
-0.19,-0.36,-0.22
-0.04,-0.35,-0.03
0.05,-0.33,0.13
0.09,-0.34,0.37
0.10,-0.38,0.59
0.12,-0.40,0.66
0.10,-0.41,0.62
0.00,-0.42,0.58
-0.14,-0.41,0.65
-0.17,-0.41,0.75
-0.18,-0.42,0.90
-0.19,-0.43,1.06
-0.16,-0.49,1.11
-0.15,-0.49,1.17
-0.05,-0.53,1.04
0.03,-0.47,0.95
0.01,-0.44,0.89
-0.04,-0.42,0.90
-0.10,-0.41,1.08
-0.16,-0.43,1.31
-0.18,-0.46,1.43
-0.18,-0.49,1.42
-0.10,-0.46,1.32
-0.00,-0.43,1.20
0.09,-0.44,1.14
0.15,-0.43,1.09
0.16,-0.40,1.00
0.15,-0.37,1.01
0.10,-0.37,1.12
-0.02,-0.39,1.28
-0.11,-0.39,1.36
-0.13,-0.39,1.36
-0.05,-0.39,1.31
0.04,-0.37,1.23
0.14,-0.36,1.20
0.16,-0.35,1.20
0.19,-0.35,1.23
0.18,-0.35,1.24
0.11,-0.35,1.22
-0.04,-0.36,1.26
-0.14,-0.36,1.19
-0.12,-0.33,1.12
-0.13,-0.32,1.05
-0.06,-0.31,1.01
-0.39,-0.57,2.10
1.03,-0.07,4.00
0.75,-0.30,1.64
-0.28,-0.27,-0.21
